# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
Si,0.2181,54.622,1
C,0.4326,30.526,1
C,0.4306,33.994,1
Si,0.4322,54.513,1
C,0.5685,25.788,0
Si,0.2181,75.86,1
C,0.3323,58.383,0
Si,0.2181,68.368,1
Si,0.2181,79.887,1
C,0.3827,35.44,0
C,0.423,42.13,1
C,0.2181,44.407,1
C,0.3424,36.2,0
C,0.2181,34.633,1
Si,0.2181,62.381,1
Si,0.3031,56.503,0
C,0.4711,28.816,0
Si,0.2181,50.067,1
C,0.2822,32.209,0
C,0.4284,26.073,1
C,0.2181,52.469,1
Si,0.2181,63.433,1
C,0.3014,32.472,0
C,0.3954,28.206,0
C,0.5573,0.5875,0
C,0.5573,27.619,0
Si,0.4278,47.791,1
C,0.2181,43.6,1
C,0.2181,71.056,1
Si,0.4362,57.386,0
C,0.6467,27.584,1
C,0.2181,62.811,1
Si,0.2181,60.141,1
Si,0.2181,88.071,1
Si,0.3705,44.759,0
C,0.2181,57.696,1
C,0.4127,46.216,0
C,0.2181,68.014,1
C,0.4303,0.056947,0
C,0.4303,65.957,0
Si,0.6482,54.936,0
Si,0.2181,90.505,1
C,0.4099,30.022,1
Si,0.2181,74.351,1
C,0.2181,69.261,1
C,0.2181,62.137,1
Si,0.4155,47.217,0
Si,0.4322,48.6,1
Si,0.6214,0.32727,0
Si,0.6214,42.577,0
C,0.4333,40.377,1
Si,0.2181,47.07,1
Si,0.4146,0,0
Si,0.4146,46.163,0
C,0.2181,26.479,1
Si,0.2181,51.318,1
Si,0.3494,40.888,0
Si,0.4301,53.439,1
C,0.2181,27.104,1
Si,0.2181,50.986,1
Si,0.2181,45.898,1
Si,0.3857,0,0
Si,0.3857,43.192,0
C,0.3987,34.861,1
C,0.2181,54.146,1
Si,0.2181,42.568,1
C,0.4313,28.303,0
C,0.2181,56.692,1
Si,0.4222,45.885,0
C,0.6402,29.805,0
Si,0.2181,75.657,1
C,0.4172,28.442,0
C,0.2865,41.461,0
C,0.2181,50.349,1
Si,0.2181,44.302,1
Si,0.2181,72.476,1
C,0.2937,38.675,0
C,0.3845,30.344,0
C,0.2181,52.313,1
C,0.4291,39.996,1
C,0.6456,39.949,1
C,0.2181,48.604,1
C,0.417,35.362,1
C,0.2181,38.23,1
C,0.4262,29.791,1
C,0.2181,27.294,1
C,0.2181,33.646,1
C,0.2181,64.261,1
C,0.4361,54.927,0
Si,0.6059,44.343,1
Si,0.2181,50.94,1
C,0.4283,30.929,0
Si,0.4314,74.419,1
C,0.2181,41.355,1
Si,0.2181,93.543,1
C,0.5774,39.362,0
C,0.7659,30.613,0
