# Nions = 10000
Atom,Depth (nm),Energy (eV),Primary
O,0.6447,46.149,0
O,0.8632,32.519,0
O,0.4194,34.4,1
O,0.4178,58.408,1
O,1.141,22.081,0
O,0.2186,26.957,1
O,0.3927,0,0
O,0.3927,23.292,0
O,0.2186,52.878,1
O,0.4188,36.759,0
O,0.2186,21.087,1
O,0.6001,34.376,1
Ti,0.2186,57.494,1
Ti,0.4319,39.455,1
O,0.5648,20.775,1
O,0.2186,70.925,1
O,0.5731,26.036,0
Ti,0.2186,65.646,1
O,0.4971,25.607,0
O,0.7018,19.047,0
O,0.2186,51.444,1
O,0.5964,23.349,1
O,0.2186,62.6,1
O,0.3758,0,0
O,0.3758,59.381,0
O,0.4205,19.999,1
Ti,0.2186,46.586,1
O,0.6322,33.914,1
O,0.2186,58.079,1
O,0.2872,0.15767,0
O,0.2872,20.098,0
O,0.07056,0.00055366,0
O,0.07056,20.097,0
O,0.2186,76.357,1
O,0.436,0.39064,0
O,0.436,73.966,0
O,0.869,26.109,0
Ti,0.5529,43.589,1
O,0.2186,66.689,1
O,0.387,27.583,0
O,0.2186,23.088,1
O,0.2781,19.748,0
O,0.528,23.379,1
O,0.2186,40.765,1
O,0.3772,23.421,0
O,0.4209,19.153,1
O,0.4318,37.939,1
Ti,0.4185,61.931,1
O,0.5735,22.396,0
O,0.2186,30.088,1
O,0.2186,44.204,1
O,0.4201,27.111,1
Ti,0.2186,63.373,1
O,0.4087,23.306,0
O,0.5505,0.25285,0
O,0.5505,20.433,0
O,0.3176,23.447,1
O,0.2186,23.596,1
Ti,0.2186,50.283,1
Ti,0.4318,77.801,1
O,0.4579,30.507,0
O,0.4356,0,0
O,0.4356,19.508,0
O,0.4306,45.655,1
O,0.8079,0,0
O,0.8079,35.915,0
Ti,0.2186,61.58,1
Ti,0.2186,39.229,1
O,0.3736,23.142,1
Ti,0.4055,65.06,1
O,0.2981,35.852,0
O,0.2186,43.073,1
O,0.4203,36.187,1
Ti,0.2186,59.914,1
O,0.3271,26.478,1
O,0.4434,0,0
O,0.4434,23.961,0
O,0.6542,0,0
O,0.6542,19.974,0
Ti,0.2186,42.534,1
O,0.2459,25.266,0
O,0.2186,42.874,1
O,0.4211,37.189,1
O,0.4169,43.086,1
O,0.5672,24.354,1
O,0.2186,57.258,1
O,0.3654,25.409,0
O,0.6289,23.346,1
O,0.2186,52.71,1
O,0.418,0,0
O,0.418,49.578,0
O,0.4192,29.892,1
O,0.6009,34.9,1
O,0.8609,0.49222,0
O,0.8609,21.132,0
O,1.051,0.10368,0
O,1.051,19.029,0
O,0.3973,26.732,1
Ti,0.2186,62.979,1
Ti,0.1992,0,0
Ti,0.1992,61.919,0
O,0.06755,19.33,0
O,0.056,0.13716,0
O,0.056,19.193,0
Ti,0.2186,84.49,1
O,0.2186,67.548,1
O,0.7109,22.773,0
Ti,0.5798,40.339,1
Ti,0.2186,60.954,1
O,0.2186,59.797,1
O,0.2186,68.33,1
O,0.5068,32.522,0
O,0.2186,37.114,1
O,0.3249,0,0
O,0.3249,33.526,0
Ti,0.2186,56.085,1
O,0.3496,41.855,0
Ti,0.2186,94.677,1
Ti,0.2381,44.845,0
Ti,0.1706,47.554,0
O,0.05282,19.381,0
Ti,0.2186,39.776,1
O,0.2186,71.199,1
Ti,0.4209,50.267,0
O,0.6353,22.195,0
O,0.2186,78.392,1
O,0.4165,21.292,0
O,0.2186,32.035,1
O,0.3536,22.352,0
O,0.2186,19.738,1
O,0.4289,52.182,1
O,0.8591,26.438,0
O,0.6002,22.834,1
O,0.2186,65.522,1
O,0.4347,47.989,0
O,0.6242,37.09,0
O,0.8096,23.762,0
Ti,0.2186,41.202,1
O,0.4231,27.278,0
O,0.2186,23.36,1
O,0.3693,0.067834,0
O,0.3693,21.292,0
O,0.4275,53.342,1
O,0.6177,39.644,0
O,0.2186,80.027,1
O,0.4272,51.74,0
O,0.6023,20.484,0
